2020-07-02 02:12:32,b'RT @FolksChili: Preview of my New Song \xe2\x80\x9c like that \xe2\x80\x9c lmk what y\xe2\x80\x99all think.... \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 \xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#music #artist #rap #raplife #rapmusic #\xe2\x80\xa6'
2020-07-02 02:12:00,b'Antwon   Keepin It Real https://t.co/d38r8J2lR2 via @YouTube #NewMusic #blm #Revolution #boogiedown #mildura\xe2\x80\xa6 https://t.co/UWkiFJfP7f'
2020-07-02 02:11:46,"b""I'm Spittin' Up a #Storm!\n#Rap &amp; #HipHop! https://t.co/pYVwvO79fr"""
2020-07-02 02:11:39,b'#NOWPLAYING : Busta Rhymes - Break Ya Neck  \nCLICK TO LISTEN \xe2\x9e\xa1\xef\xb8\x8f  https://t.co/32Yg5Gtz6L    \n#beatstrike #hhm\xe2\x80\xa6 https://t.co/vG4B5uspLx'
2020-07-02 02:11:23,b'\xf0\x9f\x94\xa5L E V E L  U P \xf0\x9f\x92\xa8\n(Link In Bio) Run It UP my Money Villains! \xf0\x9f\x92\xa8\n#wcw #reflection #newmusic #newalbum #slimmgoodie\xe2\x80\xa6 https://t.co/iV5tKos3MY'
2020-07-02 02:10:12,b'Be Kind Lyrics - MARSHMELLO  https://t.co/IJgP3mEc0M\n\n#lyrics #music #love #song #rap #hiphop #lyricedits #edit\xe2\x80\xa6 https://t.co/AcqUlb9qFA'
2020-07-02 02:07:02,b'RT @MuLaMigzz: Im at 1.27k subs ! Everyone plz go show support &amp; subscribe to my youtube channel !  https://t.co/zUhTRtT0Q3 #freestyle  #hi\xe2\x80\xa6'
2020-07-02 02:06:42,b'RT @DaRealRob87: THIS FRIDAY im Droppin the video for my single \xe2\x80\x9cTrippin\xe2\x80\x9d which is out now on all streaming services . #linkinbio #rap #hip\xe2\x80\xa6'
2020-07-02 02:06:19,b'RT @Ashborne_: DOPE NEW BEAT ITS FIRE!!! ADD TO PLAYLIST #music #love #hiphop #rap #musician #art #singer #musica #spotify #artist #instago\xe2\x80\xa6'
2020-07-02 02:05:47,b'New music ! https://t.co/QxJ3Kjj3KM #Newyork #Music #indie #rap #pop #vibes'
2020-07-02 02:04:15,b'Trust Nobody \xf0\x9f\x92\xaf\xf0\x9f\x98\x88 #lmejudo #rap #myasu https://t.co/s45Ommdlcx'
2020-07-02 02:02:59,"b'#NOWPLAYING : Mobb Deep - Win Or Lose ft. Jadakiss, Jay-Z &amp; Nas  \nCLICK TO LISTEN \xe2\x9e\xa1\xef\xb8\x8f  https://t.co/32Yg5Gtz6L\xe2\x80\xa6 https://t.co/ODkaYVavof'"
2020-07-02 02:02:37,b'NEW HEAT @ https://t.co/YI6wxJfI0I\n.\n#clothing #ootd #sneakers #jordan #nike #adidas #yeezy #retro #art #basketball\xe2\x80\xa6 https://t.co/Nw2VY6Cmxv'
2020-07-02 02:02:03,b'Appreciate The Love Fam \xf0\x9f\x98\x8e\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\xf0\x9f\x94\xa5 #24Kay #24KayTheRapper #UDigginMyDrip #DemarWaddup #DemarCookUp #Music #HipHop #Rap\xe2\x80\xa6 https://t.co/OUctTItF6j'
